id,code,first_name,last_name,web_name,team_id,position_id,photo
57,40616,Stephen,Ward,Ward,3,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p40616.png
58,106611,Michael,Keane,Keane,3,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p106611.png
59,17761,James,Tarkowski,Tarkowski,3,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p17761.png
60,85017,Tendayi,Darikwa,Darikwa,3,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p85017.png
61,19556,David,Jones,Jones,3,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p19556.png
62,28244,George,Boyd,Boyd,3,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p28244.png
63,39158,Scott,Arfield,Arfield,3,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p39158.png
64,15982,Dean,Marney,Marney,3,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p15982.png
65,95508,Fredrik,Ulvestad,Ulvestad,3,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p95508.png
66,15944,Michael,Kightly,Kightly,3,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p15944.png
67,40399,Sam,Vokes,Vokes,3,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p40399.png
68,73426,Andre,Gray,Gray,3,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p73426.png
69,34654,Lukas,Jutkiewicz,Jutkiewicz,3,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p34654.png
70,44699,Ashley,Barnes,Barnes,3,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p44699.png
71,37002,Rouwen,Hennings,Hennings,3,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p37002.png
72,153678,Chris,Long,Long,3,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p153678.png
73,60772,Thibaut,Courtois,Courtois,4,1,https://resources.premierleague.com/premierleague/photos/players/110x140/p60772.png
74,40349,Asmir,Begovic,Begovic,4,1,https://resources.premierleague.com/premierleague/photos/players/110x140/p40349.png
75,1718,John,Terry,Terry,4,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p1718.png
76,41135,Branislav,Ivanovic,Ivanovic,4,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p41135.png
77,41328,César,Azpilicueta,Azpilicueta,4,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p41328.png
78,19419,Gary,Cahill,Cahill,4,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p19419.png
79,103192,Kurt,Zouma,Zouma,4,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p103192.png
80,118335,Abdul Rahman,Baba,Baba Rahman,4,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p118335.png
81,163793,Matt,Miazga,Miazga,4,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p163793.png
82,42786,Eden,Hazard,Hazard,4,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p42786.png
83,17878,Cesc,Fàbregas,Fàbregas,4,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p17878.png
84,61262,Oscar,dos Santos Emboaba Junior,Oscar,4,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p61262.png
85,66733,Juan,Cuadrado,Cuadrado,4,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p66733.png
86,47431,Willian,Borges Da Silva,Willian,4,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p47431.png
