id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team
1661,Sam Vokes,37,2030,10,8.347450690343976,3,1.5290202079340816,57,15,0,0,F S,Burnley,8,6.825112214311957,7.930247075855732,1.693968071602285,Burnley
1660,Andre Gray,32,2279,9,7.564629638567567,3,1.471580351702869,47,19,2,0,F S,Burnley,7,6.0422916654497385,7.8198596918955445,2.1058946326375008,Burnley
4422,Ashley Barnes,28,1788,6,6.592154681682587,2,2.3875336069613695,44,21,6,1,F S,Burnley,4,5.069816034287214,6.558956136927009,0.5661483881995082,Burnley
1653,Michael Keane,35,3150,2,1.458498489111662,1,0.9949255008250475,23,8,4,0,D,Burnley,2,1.458498489111662,1.3617717996239662,1.1613999027758837,Burnley
1656,George Boyd,36,2866,2,1.4767534052953124,1,2.1451754877343774,34,17,3,0,M S,Burnley,2,1.4767534052953124,4.605845753103495,1.8933543134480715,Burnley
1746,Jeff Hendrick,32,2698,2,1.3130618361756206,1,0.653957792557776,31,13,6,1,M S,Burnley,2,1.3130618361756206,2.7778089232742786,1.8422746006399393,Burnley
789,Robbie Brady,14,710,1,0.7694878149777651,2,1.6063628867268562,19,16,1,0,M S,Burnley,1,0.7694878149777651,1.5022324780002236,0.32196161802858114,Burnley
1654,Ben Mee,34,3018,1,0.8950457377359271,0,0.23173459619283676,16,6,5,0,D,Burnley,1,0.8950457377359271,2.8267309926450253,2.772047591395676,Burnley
1655,Stephen Ward,37,3233,1,1.3775879833847284,1,2.2142866030335426,7,22,5,0,D,Burnley,1,1.3775879833847284,5.215952057391405,3.2452167961746454,Burnley
1657,Steven Defour,21,1088,1,0.49375350680202246,3,1.1825319500640035,8,23,1,0,M S,Burnley,1,0.49375350680202246,1.6209760131314397,1.0115655036643147,Burnley
1658,Dean Marney,21,1779,1,0.2687266506254673,2,0.5393413184210658,12,5,7,0,M,Burnley,1,0.2687266506254673,1.7469457797706127,1.4832411967217922,Burnley
1659,Scott Arfield,31,2118,1,2.939779778942466,0,1.8786321142688394,44,34,3,0,M S,Burnley,1,2.939779778942466,4.719801418483257,1.7680322285741568,Burnley
1663,Johann Berg Gudmundsson,20,988,1,0.6135827992111444,2,1.21002347022295,17,15,1,0,M S,Burnley,1,0.6135827992111444,1.5712092882022262,0.46364149544388056,Burnley
4430,Joey Barton,14,1104,1,0.41184460185468197,0,0.6195554044097662,12,8,4,0,M S,Burnley,1,0.41184460185468197,2.629542449489236,2.048955015838146,Burnley
490,Jon Flanagan,6,360,0,0,0,0.056005001068115234,0,1,2,0,D S,Burnley,0,0,0.43232761323451996,0.37632259726524353,Burnley
669,Ashley Westwood,9,549,0,0.031774599105119705,0,0.1513935998082161,2,5,3,0,M S,Burnley,0,0.031774599105119705,0.825775496661663,0.7060893941670656,Burnley
822,Patrick Bamford,6,26,0,0.03301059827208519,0,0,1,0,0,0,S,Burnley,0,0.03301059827208519,0.09193889796733856,0.09193889796733856,Burnley
1651,Tom Heaton,35,3150,0,0,0,0.13962899893522263,0,3,1,0,GK,Burnley,0,0,0.7979688933119178,0.7430295934900641,Burnley
1652,Matthew Lowton,36,3240,0,0.5120369298383594,2,1.8188618961721659,6,31,9,0,D,Burnley,0,0.5120369298383594,4.557840577326715,2.7797148171812296,Burnley
1662,Aiden O&#039;Neill,3,83,0,0.058964598923921585,0,0,1,0,0,0,S,Burnley,0,0.058964598923921585,0.058964598923921585,0,Burnley
1664,Lukas Jutkiewicz,2,9,0,0,0,0,0,0,0,0,S,Burnley,0,0,0,0,Burnley
1665,James Tarkowski,19,536,0,0.6106175947934389,0,0.37224411219358444,5,4,1,0,D S,Burnley,0,0.6106175947934389,0.6365039981901646,0.4274322986602783,Burnley
1667,Paul Robinson,3,270,0,0,0,0,0,0,0,0,GK,Burnley,0,0,0.05131080001592636,0.05131080001592636,Burnley
1668,Michael Kightly,5,96,0,0.0816970020532608,0,0,1,0,0,0,M S,Burnley,0,0.0816970020532608,0,0,Burnley
1747,Kevin Long,3,270,0,0.024663500487804413,0,0,1,0,0,0,D,Burnley,0,0.024663500487804413,0.09584390185773373,0.09584390185773373,Burnley
1787,David Jones,1,88,0,0,0,0,0,0,1,0,M,Burnley,0,0,0,0,Burnley
5563,Daniel Agyei,3,20,0,0.0976220965385437,0,0,2,0,0,0,S,Burnley,0,0.0976220965385437,0.0976220965385437,0,Burnley
